Province	Island	Site	Area Transect	ID Transect	Data	Depth (m)	Species Richnes (spp/tran)	Density (ind/m2)	Biomass (g/m2)
tep_north	revillagigedo_socorro	cabo_pierce	50	rso_cabo_pierce_1155	feb_2006	15	11	0.92	167.62
tep_south	galapagos_central	pinzon	250	gcent_pinzon_12017	jul_2015	6	21	6.66	152.09
tep_south	cocos	bahia_chatham	40	coc_bahia_chatham_4923	nov_2014	12	14	10.62	1115.05
tep_north	revillagigedo_socorro	cabo_pierce	250	rso_cabo_pierce_3722	feb_2006	15	12	0.23	77.51
tep_south	cocos	cocos	40	coc_cocos_1412	nov_2014	15	17	11.35	728.52
tep_south	galapagos_floreana	la_botella	250	gflor_la_botella_12010	jul_2015	6	22	6.29	721.1
tep_north	revillagigedo_san_benedicto	the_boiler_s	250	rsb_the_boiler_s_4911	feb_2006	15	11	0.28	248.85
tep_south	cocos	cocos	40	coc_cocos_1419	nov_2014	8	26	19.18	546.6
tep_south	malpelo	arrecife	40	mal_arrecife_3818	apr_2015	12	22	12.22	842.59
cen_atla	ascension	northeast_point	40	asc_northeast_point_5047	aug_2015	8	10	3.62	457.02
swa	trindade	farol	40	tri_farol_165	jun_2009	12	9	1.5	656.96
swa	trindade	tunel	40	tri_tunel_333	jun_2009	36	19	1.92	634.97
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5021	aug_2015	11	18	4.2	502.33
cen_atla	ascension	northeast_point	40	asc_northeast_point_5052	aug_2015	7	20	9.82	1278.4
swa	martin_vaz	lado_oeste	40	mvz_lado_oeste_9990	aug_2013	10.5	10	0.95	156.66
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5026	aug_2015	8	21	4.65	321.32
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5056	aug_2015	11	13	4.88	267.8
swa	trindade	tartarugas	40	tri_tartarugas_274	jun_2009	8	14	2.98	180.16
swa	trindade	orelhas	40	tri_orelhas_145	jun_2009	4	13	2.38	361.63
swa	trindade	lixo	40	tri_lixo_227	jun_2009	15	13	0.78	177.42
swa	trindade	tunel	40	tri_tunel_4858	jun_2009	32	17	2.62	195.97
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5011	aug_2015	13	14	3.7	340.32
swa	trindade	calheta	40	tri_calheta_318	jun_2009	12	14	4.2	326.82
swa	stpauls_rocks	boia	40	spr_boia_2713	apr_2012	33	11	3.77	297.51
swa	stpauls_rocks	sp_fora	40	spr_sp_fora_2925	apr_2012	15	9	13.1	880.37
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5004	aug_2015	12	12	2.98	263.85
swa	trindade	calheta	40	tri_calheta_344	jun_2009	22	8	1.07	79.57
swa	trindade	tunel	40	tri_tunel_106	jun_2009	20	10	2.5	494.59
cen_atla	ascension	northeast_point	40	asc_northeast_point_5031	aug_2015	8	15	5.1	422.32
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5061	aug_2015	5	15	4.97	549.43
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5075	aug_2015	5	14	4.4	533.16
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5082	aug_2015	4	13	5.05	304.59
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5063	aug_2015	4	19	7.7	718.66
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5010	aug_2015	8	12	2.55	493.61
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5058	aug_2015	6	20	4.88	691.7
swa	trindade	parcel	40	tri_parcel_100	jun_2009	9	11	1.38	214.8
cen_atla	ascension	northeast_point	40	asc_northeast_point_5032	aug_2015	8	17	4.2	1148.49
swa	trindade	farol	40	tri_farol_167	jun_2009	12	10	3.27	1619.23
cen_atla	ascension	northeast_point	40	asc_northeast_point_5042	aug_2015	7	14	4.38	337.11
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5072	aug_2015	6	16	7.15	695.93
swa	trindade	lixo	40	tri_lixo_10004	jun_2009	7	10	2	499.85
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5016	aug_2015	8	16	4.33	537.74
swa	trindade	tartarugas	40	tri_tartarugas_186	jun_2009	6	15	2.1	551.71
swa	trindade	ponta_norte	40	tri_ponta_norte_197	jun_2009	12	7	1.73	28.96
cen_atla	ascension	northeast_point	40	asc_northeast_point_5043	aug_2015	8	10	3.05	552.7
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5025	aug_2015	6	11	3.73	326.82
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5019	aug_2015	12	18	7.83	1147.65
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5027	aug_2015	6	14	5.18	457.87
swa	trindade	lixo	40	tri_lixo_240	jun_2009	5	16	2.67	352.54
cen_atla	ascension	northeast_point	40	asc_northeast_point_5037	aug_2015	8	12	3.1	593.88
swa	trindade	eme	40	tri_eme_263	jun_2009	12	10	1.65	495.19
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5065	aug_2015	5	16	4.53	695.88
swa	trindade	eme	40	tri_eme_257	jun_2009	20	13	1.62	1592.8
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5064	aug_2015	4	20	4.78	549.93
swa	stpauls_rocks	enseada	40	spr_enseada_2742	apr_2012	25	13	7.38	701.42
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5015	aug_2015	12	16	3.7	447.26
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5069	aug_2015	5	15	3.17	376.24
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5067	aug_2015	6	14	4.28	475.38
swa	trindade	ponta_norte	40	tri_ponta_norte_129	jun_2009	12	16	3.6	594.59
swa	rocas	cemiterio	40	roc_cemiterio_1552	feb_2012	1	10	4.75	77.94
swa	trindade	cabritas	40	tri_cabritas_158	jun_2009	5	10	2.23	331.7
cen_atla	ascension	northeast_point	40	asc_northeast_point_5040	aug_2015	8	14	6.88	393.52
swa	stpauls_rocks	enseada	40	spr_enseada_2737	apr_2012	22	9	9.22	779.42
swa	trindade	tunel	40	tri_tunel_329	jun_2009	43	12	1.73	721.62
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5060	aug_2015	4	14	4.4	308.46
swa	trindade	parcel	40	tri_parcel_99	jun_2009	8	14	3.12	482.68
swa	stpauls_rocks	boia	40	spr_boia_2715	apr_2012	32	14	8.25	536.99
cen_atla	ascension	northeast_point	40	asc_northeast_point_5051	aug_2015	8	14	3.42	411.8
